"id","code_prefix_start","code_prefix_end","name"
"group_01","01","01","Fixed Assets"
"group_02","02","02","Accumulated Depreciation"
"group_04","04","04","Intangible Assets"
"group_05","05","05","Accumulated Amortization"
"group_08","08","08","Investments in Non-Current Assets"
"group_10","10","19","Materials"
"group_20","20","29","Production"
"group_41","41","42","Goods"
"group_43","43","43","Finished Goods"
"group_50","50","58","Cash and Financial Assets"
"group_60","60","79","Settlements"
"group_80","80","89","Equity"
"group_90","90","99","Financial Results"
